ID,Tipo,REF,Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status da taxa,Classe de taxa,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vender individualmente?,Peso (g),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Nota da compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Metadado: _wc_min_qty_product,Metadado: _wc_max_qty_product,Limite de download,Dias para expirar o download,Produto ascendente,Produtos agrupados,Aumenta vendas,Venda cruzada,URL externa,Texto do botão,Posição,Swatches Attributes,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1,Nome do atributo 2,Valores do atributo 2,Visibilidade do atributo 2,Atributo global 2,Metadado: _et_pb_post_hide_nav,Metadado: _et_pb_page_layout,Metadado: _et_pb_side_nav,Metadado: _et_pb_use_builder,Metadado: _et_builder_version,Metadado: _et_pb_first_image,Metadado: _et_pb_truncate_post,Metadado: _et_pb_ab_stats_refresh_interval,Metadado: _aioseop_keywords,Metadado: _aioseop_description,Metadado: _aioseop_title,Metadado: _ywsbs_subscription,Metadado: _ywsbs_price_is_per,Metadado: _ywsbs_price_time_option,Metadado: _ywsbs_max_length,Metadado: _wcct_goaldeal_stock_3870_1556384700_1556402700,Valores do atributo 3,Visibilidade do atributo 3,Atributo global 3,Nome do atributo 4,Valores do atributo 4,Visibilidade do atributo 4,Atributo global 4,Atributo padrão 4,Nome do atributo 5,Valores do atributo 5,Visibilidade do atributo 5,Atributo global 5,Metadado: _wp_old_date,Pedido*,Dúzias para encomenda,Arquivo/Pasta Estampa (Link G.Drive),nome do produto_FSB,tipo de produto_FSB
,simple,1009A,,'-1,0,,,,,,taxable,,1,5,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1042.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS GROSSAS CINZA CLARO/CINZA ESCURO PONTA DO PÉ PRETO,ATOALHADA
,simple,1010,,'-1,0,,,,,,taxable,,1,6,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1036.1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS GROSSAS CINZA ESCURO/CINZA CLARO,ATOALHADA
,simple,1010A,,'-1,0,,,,,,taxable,,1,2,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1039.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS GROSSA AZUL ESCURO/PRETO,ATOALHADA
,simple,1011,,'-1,0,,,,,,taxable,,1,6,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1083.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,"SKATE - LISTRAS GROSSA DESCONEXA VERMELHO, VERDE MUSGO",ATOALHADA
,simple,1011A,,,,,,,,,,,,3,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1085.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,SKATE - LISTRAS GROSSAS DESCONEXA PRETA/CINZA,ATOALHADA
,,1012,,,,,,,,,,,,9,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1028.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS VERTICAIS E HORIZONTAIS CINZA CLARO/PRETO PUNHO CINZA CLARO,ATOALHADA
,simple,1012A,,'-1,0,,,,,,taxable,,1,6,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1032.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS VERTICAIS E HORIZONTAIS PRETO/BRANCO PUNHO PRETO,ATOALHADA
,,1012B,,,,,,,,,,,,7,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1012B.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS VERTICAIS E HORIZONTAL CINZA CLARO/PRETO PUNHO PRETO,ATOALHADA
,,1012C,,,,,,,,,,,,2,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1028A.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS VERTICAIS E HORIZONTAL CINZA ESCURO/PRETO PUNHO CINZA ESCURO,ATOALHADA
,simple,1013,,'-1,0,,,,,,taxable,,1,3,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1033.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS CINZA CLARO/PRETO PUNHO CINZA/PRETO,ATOALHADA
,simple,1013A,,'-1,0,,,,,,taxable,,1,1,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1013A.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS BRANCO/PRETO PUNHO BRANCO/PRETO,ATOALHADA
,simple,1013B,,'-1,0,,,,,,taxable,,1,1,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1060.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS BRANCA/CINZA CLARO PUNHO CINZA CLARO/BRANCO,ATOALHADA
